Divipola,Nombre,Indicativo
20295,Gamarra,605
20310,González,605
20383,La Gloria,605
20400,La Jagua de Ibirico,605
20443,Manaure,605
20517,Pailitas,605
20550,Pelaya,605
20570,Pueblo Bello,605
20614,Río de Oro,605
20621,La Paz,605
20710,San Alberto,605
20750,San Diego,605
20770,San Martín,605
20787,Tamalameque,605
23001,Montería,604
23068,Ayapel,604
23079,Buenavista,604
23090,Canalete,604
23162,Cereté,604
23168,Chimá(3),604
23182,Chinú,604
23189,Ciénaga de Oro,604
23300,Cotorra,604
23350,La Apartada,604
23417,Lorica,604
23419,Los Córdobas,604
23464,Momil,604
23466,Montelíbano(3),604
23500,Moñitos,604
23555,Planeta Rica,604
23570,Pueblo Nuevo,604
23574,Puerto Escondido,604
23580,Puerto Libertador,604
23586,Purísima,604
23660,Sahagún,604
23670,San Andrés Sotavento,604
23672,San Antero,604
23675,San Bernardo del Viento,604
23678,San Carlos,604
23682,San José de Uré,604
23686,San Pelayo,604
23807,Tierralta,604
23815,Tuchín,604
23855,Valencia,604
25001,Agua de Dios,601
25019,Albán,601
25035,Anapoima,601
25040,Anolaima,601
25053,Arbeláez,601
25086,Beltrán,601
25095,Bituima,601
25099,Bojacá,601
25120,Cabrera,601
25123,Cachipay,601
25126,Cajicá,601
25148,Caparrapí,601
25151,Caqueza,601
25154,Carmen de Carupa,601
25168,Chaguaní,601
25175,Chía,601
25178,Chipaque,601
25181,Choachí,601
25183,Chocontá,601
25200,Cogua,601
25214,Cota,601
25224,Cucunubá,601
25245,El Colegio,601
25258,El Peñón,601
25260,El Rosal,601
25269,Facatativá,601
25279,Fomeque,601
25281,Fosca,601
25286,Funza,601
25288,Fúquene,601
25290,Fusagasugá,601
25293,Gachala,601
25295,Gachancipá,601
25297,Gachetá,601
25299,Gama,601
25307,Girardot,601
25312,Granada,601
25317,Guachetá,601
25320,Guaduas,601
25322,Guasca,601
25324,Guataquí,601
25326,Guatavita,601
25328,Guayabal de Siquima,601
25335,Guayabetal,601
25339,Gutiérrez,601
25368,Jerusalén,601
25372,Junín,601
25377,La Calera,601
25386,La Mesa,601
25394,La Palma,601
25398,La Peña,601
25402,La Vega,601
25407,Lenguazaque,601
25426,Macheta,601
25430,Madrid,601
25436,Manta,601
25438,Medina,601
25473,Mosquera,601
25483,Nariño,601
25486,Nemocón,601
25488,Nilo,601
25489,Nimaima,601
25491,Nocaima,601
25506,Venecia,601
25513,Pacho,601
25518,Paime,601
25524,Pandi,601
25530,Paratebueno,601
25535,Pasca,601
25572,Puerto Salgar,601
25580,Pulí,601
25592,Quebradanegra,601
25594,Quetame,601
25596,Quipile,601
25599,Apulo,601
25612,Ricaurte,601
25645,San Antonio del Tequendama,601
25649,San Bernardo,601
25653,San Cayetano,601
25658,San Francisco,601
25662,San Juan de Río Seco,601
25718,Sasaima,601
25736,Sesquilé,601
25740,Sibaté,601
25743,Silvania,601
25745,Simijaca,601
25754,Soacha,601
25758,Sopó,601
25769,Subachoque,601
25772,Suesca,601
25777,Supatá,601
25779,Susa,601
25781,Sutatausa,601
25785,Tabio,601
